Label, Count, Average
Wf_ViewIMArchiveToAnyPage_On_Receive_Tab, 10, 37098
Asset_GotoNewEquityInstrumentPage, 10, 380
Agmt_SaveTabCollateral, 10, 1949
CD_Click_DynamicFilter_On_Dashboard_Tab_HTML, 10, 1
Agmt_GotoExposureStatementPage, 20, 624
Org_SaveOrgGlobalPreference_HTML, 10, 1
Sys_SavePrivilegesOfTab_Reform, 10, 1781
Opt_AddRankingAgmtFilter, 10, 347
Wf_SearchIMByDefault, 10, 7561
Wf_GotoInternalReviewPage, 10, 235
EM_Click_Delivery_Under_MarginFilters_Ajax_getCountForDefaultFilters, 10, 8504
Org_SaveOrgGlobalPreference_Ajax_getOrgSearchPageString, 10, 203
Org_SaveOrgMainDetails_Ajax_GetMainOrgDetail, 10, 178
EM_Click_Delivery_Under_MarginFilters_Ajax_showActionBtnByFilter, 20, 192
EM_Click_Completed_Under_MarginFilters_Ajax_showActionBtn, 10, 375
EM_Click_Confirmed_Under_SubstitutionFilters_Ajax_getColumnSetting, 10, 299
Wf_ApproveTickedOrgOnApprovalsManager, 2, 1422
Sys_SavePrivilegesOfTab_SelfService, 10, 1429
EM_GotoAnyPageOfRecallUnderMarginFilters_Ajax_showActionBtn, 30, 314
EM_GotoAnyPageOfRecallUnderMarginFilters_HTML, 20, 1
Org_ApproveOrg_Ajax_GetMainOrgDetail, 10, 219
Wf_SearchSecurityMovement, 10, 2070
EM_Click_Delivery_Under_MarginFilters_Ajax_showActionBtn, 10, 388
Sys_SavePrivilegesOfTab_SystemAdmin, 10, 2074
TradeSearch_ViewTradeToAnyPage, 10, 516
EM_Click_Return_Under_MarginFilters_MAIN, 10, 16593
CD_Click_DynamicFilter_On_Agreement_Tab_MAIN, 10, 403
EM_GotoAnyPageOf_Confirmed_Under_SubstitutionFilters, 10, 814
Agmt_SaveEligibilityRuleOnCollateralTab, 10, 10259
Org_SaveOrgMainDetails_MAIN, 10, 1628
EM_Click_Issued_Under_SubsitituionFilters_Ajax_getColumnSetting, 10, 398
Opt_AddOptimisationRule, 10, 230
Opt_AddFilterAgmtRule, 10, 445
Collateral_Config_SavePreferences, 10, 3440
